Bus,Month,Route,end,start,type
2,August,4,2018-08-17 19:42,2018-08-17 19:20,running
2,August,4,2018-08-17 20:22,2018-08-17 20:00,running
2,August,4,2018-08-17 20:52,2018-08-17 20:22,charging
2,August,4,2018-08-17 21:52,2018-08-17 21:30,running
2,August,4,2018-08-17 23:22,2018-08-17 23:00,running
3,August,4,2018-08-17 07:02,2018-08-17 06:40,running
3,August,4,2018-08-17 08:02,2018-08-17 07:40,running
3,August,4,2018-08-17 09:02,2018-08-17 08:40,running
3,August,4,2018-08-17 10:02,2018-08-17 09:40,running
3,August,4,2018-08-17 11:22,2018-08-17 11:00,running
3,August,4,2018-08-17 12:52,2018-08-17 12:30,running
3,August,4,2018-08-17 14:22,2018-08-17 14:00,running
3,August,4,2018-08-17 15:52,2018-08-17 15:30,running
3,August,4,2018-08-17 17:02,2018-08-17 16:40,running
3,August,4,2018-08-17 18:02,2018-08-17 17:40,running
3,August,4,2018-08-17 19:02,2018-08-17 18:40,running
3,August,4,2018-08-17 20:02,2018-08-17 19:40,running
3,August,4,2018-08-17 21:22,2018-08-17 21:00,running
3,August,4,2018-08-17 22:52,2018-08-17 22:30,running
3,August,4,2018-08-17 23:22,2018-08-17 22:52,charging
1,August,5,2018-08-17 06:24,2018-08-17 06:00,running
1,August,5,2018-08-17 07:04,2018-08-17 06:40,running
1,August,5,2018-08-17 07:44,2018-08-17 07:20,running
1,August,5,2018-08-17 08:24,2018-08-17 08:00,running
1,August,5,2018-08-17 09:04,2018-08-17 08:40,running
1,August,5,2018-08-17 09:44,2018-08-17 09:20,running
1,August,5,2018-08-17 10:24,2018-08-17 10:00,running
1,August,5,2018-08-17 11:04,2018-08-17 10:40,running
1,August,5,2018-08-17 11:44,2018-08-17 11:20,running
1,August,5,2018-08-17 12:24,2018-08-17 12:00,running
1,August,5,2018-08-17 13:04,2018-08-17 12:40,running
1,August,5,2018-08-17 13:44,2018-08-17 13:20,running
1,August,5,2018-08-17 14:14,2018-08-17 13:44,charging
1,August,5,2018-08-17 14:54,2018-08-17 14:30,running
1,August,5,2018-08-17 15:24,2018-08-17 15:00,running
1,August,5,2018-08-17 15:54,2018-08-17 15:30,running
1,August,5,2018-08-17 16:24,2018-08-17 16:00,running
1,August,5,2018-08-17 17:04,2018-08-17 16:40,running
1,August,5,2018-08-17 17:44,2018-08-17 17:20,running
1,August,5,2018-08-17 18:24,2018-08-17 18:00,running
1,August,5,2018-08-17 19:04,2018-08-17 18:40,running
1,August,5,2018-08-17 19:44,2018-08-17 19:20,running
1,August,5,2018-08-17 20:24,2018-08-17 20:00,running
1,August,5,2018-08-17 21:04,2018-08-17 20:40,running
1,August,5,2018-08-17 21:44,2018-08-17 21:20,running
1,August,5,2018-08-17 22:14,2018-08-17 21:44,charging
1,August,5,2018-08-17 22:54,2018-08-17 22:30,running
1,August,5,2018-08-17 23:34,2018-08-17 23:10,running
1,August,5,2018-08-18 00:04,2018-08-17 23:40,running
2,August,5,2018-08-17 06:34,2018-08-17 06:10,running
2,August,5,2018-08-17 07:14,2018-08-17 06:50,running
2,August,5,2018-08-17 07:54,2018-08-17 07:30,running
2,August,5,2018-08-17 08:34,2018-08-17 08:10,running
2,August,5,2018-08-17 09:14,2018-08-17 08:50,running
2,August,5,2018-08-17 09:54,2018-08-17 09:30,running
2,August,5,2018-08-17 10:34,2018-08-17 10:10,running
2,August,5,2018-08-17 11:14,2018-08-17 10:50,running
2,August,5,2018-08-17 11:54,2018-08-17 11:30,running
2,August,5,2018-08-17 12:34,2018-08-17 12:10,running
2,August,5,2018-08-17 13:14,2018-08-17 12:50,running
2,August,5,2018-08-17 13:54,2018-08-17 13:30,running
2,August,5,2018-08-17 14:24,2018-08-17 14:00,running
2,August,5,2018-08-17 14:54,2018-08-17 14:24,charging
2,August,5,2018-08-17 15:34,2018-08-17 15:10,running
2,August,5,2018-08-17 16:04,2018-08-17 15:40,running
2,August,5,2018-08-17 16:34,2018-08-17 16:10,running
2,August,5,2018-08-17 17:14,2018-08-17 16:50,running
2,August,5,2018-08-17 17:54,2018-08-17 17:30,running
2,August,5,2018-08-17 18:34,2018-08-17 18:10,running
2,August,5,2018-08-17 19:14,2018-08-17 18:50,running
2,August,5,2018-08-17 19:54,2018-08-17 19:30,running
2,August,5,2018-08-17 20:34,2018-08-17 20:10,running
2,August,5,2018-08-17 21:14,2018-08-17 20:50,running
2,August,5,2018-08-17 21:54,2018-08-17 21:30,running
2,August,5,2018-08-17 22:24,2018-08-17 22:00,running
2,August,5,2018-08-17 23:04,2018-08-17 22:40,running
2,August,5,2018-08-17 23:34,2018-08-17 23:04,charging
2,August,5,2018-08-18 00:14,2018-08-17 23:50,running
3,August,5,2018-08-17 06:44,2018-08-17 06:20,running
3,August,5,2018-08-17 07:24,2018-08-17 07:00,running
