Bus,Month,Route,end,start,type
2,August,4,8/17/2018 9:42,8/17/2018 9:20,running
2,August,4,8/17/2018 10:52,8/17/2018 10:30,running
2,August,4,8/17/2018 12:22,8/17/2018 12:00,running
2,August,4,8/17/2018 13:52,8/17/2018 13:30,running
2,August,4,8/17/2018 15:22,8/17/2018 15:00,running
2,August,4,8/17/2018 16:42,8/17/2018 16:20,running
2,August,4,8/17/2018 17:42,8/17/2018 17:20,running
2,August,4,8/17/2018 18:42,8/17/2018 18:20,running
2,August,4,8/17/2018 19:42,8/17/2018 19:20,running
2,August,4,8/17/2018 20:22,8/17/2018 20:00,running
2,August,4,8/17/2018 20:52,8/17/2018 20:22,charging
2,August,4,8/17/2018 21:52,8/17/2018 21:30,running
2,August,4,8/17/2018 23:22,8/17/2018 23:00,running
3,August,4,8/17/2018 7:02,8/17/2018 6:40,running
3,August,4,8/17/2018 8:02,8/17/2018 7:40,running
3,August,4,8/17/2018 9:02,8/17/2018 8:40,running
3,August,4,8/17/2018 10:02,8/17/2018 9:40,running
3,August,4,8/17/2018 11:22,8/17/2018 11:00,running
3,August,4,8/17/2018 12:52,8/17/2018 12:30,running
3,August,4,8/17/2018 14:22,8/17/2018 14:00,running
3,August,4,8/17/2018 15:52,8/17/2018 15:30,running
3,August,4,8/17/2018 17:02,8/17/2018 16:40,running
3,August,4,8/17/2018 18:02,8/17/2018 17:40,running
3,August,4,8/17/2018 19:02,8/17/2018 18:40,running
3,August,4,8/17/2018 20:02,8/17/2018 19:40,running
3,August,4,8/17/2018 21:22,8/17/2018 21:00,running
3,August,4,8/17/2018 22:52,8/17/2018 22:30,running
3,August,4,8/17/2018 23:22,8/17/2018 22:52,charging
1,August,5,8/17/2018 6:24,8/17/2018 6:00,running
1,August,5,8/17/2018 7:04,8/17/2018 6:40,running
1,August,5,8/17/2018 7:44,8/17/2018 7:20,running
1,August,5,8/17/2018 8:24,8/17/2018 8:00,running
1,August,5,8/17/2018 9:04,8/17/2018 8:40,running
1,August,5,8/17/2018 9:44,8/17/2018 9:20,running
1,August,5,8/17/2018 10:24,8/17/2018 10:00,running
1,August,5,8/17/2018 11:04,8/17/2018 10:40,running
1,August,5,8/17/2018 11:44,8/17/2018 11:20,running
1,August,5,8/17/2018 12:24,8/17/2018 12:00,running
1,August,5,8/17/2018 13:04,8/17/2018 12:40,running
1,August,5,8/17/2018 13:44,8/17/2018 13:20,running
1,August,5,8/17/2018 14:14,8/17/2018 13:44,charging
1,August,5,8/17/2018 14:54,8/17/2018 14:30,running
1,August,5,8/17/2018 15:24,8/17/2018 15:00,running
1,August,5,8/17/2018 15:54,8/17/2018 15:30,running
1,August,5,8/17/2018 16:24,8/17/2018 16:00,running
1,August,5,8/17/2018 17:04,8/17/2018 16:40,running
1,August,5,8/17/2018 17:44,8/17/2018 17:20,running
1,August,5,8/17/2018 18:24,8/17/2018 18:00,running
1,August,5,8/17/2018 19:04,8/17/2018 18:40,running
1,August,5,8/17/2018 19:44,8/17/2018 19:20,running
1,August,5,8/17/2018 20:24,8/17/2018 20:00,running
1,August,5,8/17/2018 21:04,8/17/2018 20:40,running
1,August,5,8/17/2018 21:44,8/17/2018 21:20,running
1,August,5,8/17/2018 22:14,8/17/2018 21:44,charging
1,August,5,8/17/2018 22:54,8/17/2018 22:30,running
